КЛИЧКИ ПО КОНТРАСТУ
===================

Заготовка к третьему этапу. В общие списки Nick_Male / Nick_Female эти слова
НЕ КЛАДУТСЯ и класться не должны: сами по себе они пустые. «Пёрышко» смешно
только на толстяке, «Добряк» — только на головорезе. Выданные наугад, они
читаются не как шутка, а как промах генератора.

КОГДА ИХ МОЖНО ВЫДАВАТЬ
-----------------------
В момент выдачи имени признаков ещё нет. Порядок в PawnGenerator.cs:

    770  выдача имени и биографии
    786  черты характера
    787  телосложение
    788  гены
    789  навыки
    893  начальные недуги и увечья

Значит нужен отдельный заход в самом конце генерации пешки, когда известно всё.

ТРОГАТЬ ТОЛЬКО КЛИЧКУ. Имя и фамилию менять поздно: на строке 779 игра уже
запомнила story.birthLastName из выданной фамилии, и подмена разведёт девичью
фамилию с настоящей. Кличка ни на что не завязана, она только для показа
(NameTriple.ToStringShort возвращает именно её).

СКОЛЬКО. Ваниль даёт отдельную кличку лишь в 15% случаев, в остальных ставит
в это поле имя или фамилию. Ломать эту пропорцию не надо — иначе у каждого
колониста появится прозвище в кавычках, и игра станет другой на вид.
Ирония должна быть редкой: на то она и ирония.

ФОРМАТ НИЖЕ: мужская форма | женская форма

# ── телосложение: Fat (толстый) ────────────────────────────────────────────
Пёрышко | Пёрышко
Тростинка | Тростинка
Спичка | Спичка
Былинка | Былинка
Худой | Худая
Стройный | Стройная

# ── телосложение: Hulk (здоровяк) ──────────────────────────────────────────
Малыш | Дюймовочка
Мизинец | Мизинчик
Ноготок | Ноготок
Заморыш | Заморыш
Соломинка | Соломинка

# ── телосложение: Thin (худой) ─────────────────────────────────────────────
Шкаф | Шкаф
Бадья | Бадья
Гора | Гора
Кабан | Кабаниха
Сдоба | Сдоба

# ── черта Kind (доброта) ───────────────────────────────────────────────────
Ирод | Иродиха
Душегуб | Душегубка
Изверг | Изверг
Палач | Палач
Каратель | Кара

# ── черты Bloodlust, Psychopath (кровожадность, психопатия) ────────────────
Добряк | Добрячка
Ласковый | Ласковая
Ангел | Ангел
Ягнёнок | Овечка
Смирный | Смирная
Тихоня | Тихоня

# ── черта Wimp (хлюпик) ────────────────────────────────────────────────────
Богатырь | Богатырша
Скала | Скала
Танк | Танк
Стойкий | Стойкая

# ── черта Tough (живучесть) ────────────────────────────────────────────────
Хрупкий | Хрупкая
Стекляшка | Стекляшка
Фарфор | Фарфор
Лучина | Лучина

# ── черта Beauty, степень «уродство» ───────────────────────────────────────
Красавчик | Красавица
Писаный | Писаная
Цветик | Цветик
Румяный | Румяная

# ── черта Beauty, степень «красота» ────────────────────────────────────────
Страшила | Кикимора
Мордоворот | Мордоворот
Чучело | Чучело

# ── черта Abrasive (грубость) ──────────────────────────────────────────────
Сахарный | Сахарная
Медовый | Медовая
Мягкий | Мягкая

# ── черта Gourmand (обжорство) ─────────────────────────────────────────────
Постник | Постница
Голодный | Голодная

# ── черта Nudist (нудизм) ──────────────────────────────────────────────────
Тулуп | Тулуп
Кожух | Кожух
Шуба | Шуба

# ── черта Pyromaniac (пиромания) ───────────────────────────────────────────
Мокрый | Мокрая
Ливень | Ливень
Сырость | Сырость

# ── черта Industriousness, степень «лень» ──────────────────────────────────
Работяга | Работяга
Ударник | Ударница

# ── низкий навык стрельбы ──────────────────────────────────────────────────
Ворошилов | Снайперша
Меткий | Меткая
Меткач | Меткачка

# ── низкий навык интеллекта ────────────────────────────────────────────────
Профессор | Профессорша
Академик | Академик
Грамотей | Грамотейка
Мудрец | Мудрец
Умник | Умница

# ── низкий навык готовки ───────────────────────────────────────────────────
Шеф | Шеф
Повар | Повариха
Кулинар | Кулинарка

# ── низкий навык ближнего боя ──────────────────────────────────────────────
Костолом | Костоломка
Рубака | Рубака

# ── низкий навык общения ───────────────────────────────────────────────────
Дипломат | Дипломат
Оратор | Ораторша
Златоуст | Златоуст
Балагур | Балагурка

# ── низкий навык медицины ──────────────────────────────────────────────────
Доктор | Докторша
Лекарь | Лекарка

# ── низкий навык строительства ─────────────────────────────────────────────
Зодчий | Зодчая
Умелец | Умелица

# ── низкий навык растениеводства ───────────────────────────────────────────
Агроном | Агрономша
Садовник | Садовница

# ── медлительность: черта SpeedOffset или протез ноги ──────────────────────
Скороход | Скороходка
Резвый | Резвая
Ракета | Ракета
Вихрь | Вихрь

# ── нет глаза ──────────────────────────────────────────────────────────────
Зоркий | Зоркая
Глазастый | Глазастая

# ── обезображен, шрамы ─────────────────────────────────────────────────────
Гладкий | Гладкая
Чистенький | Чистенькая
